商品名,価格,url,説明文,Jancode
【すとぷり あにまるるーむわんぴーす ころん】すとろべりーぷりんす マフラー,11998,https://item.rakuten.co.jp/saitamatoy/hyt2022020815/,,
すとろべりーらぶっ！ (初回限定盤 CD＋DVD) [ すとぷり ],3061,https://item.rakuten.co.jp/book/15902840/,"すとぷりBKSCPN_【newcd】 ストロベリーラブッ ストプリ 発売日：2019年07月03日 予約締切日：2019年06月30日 STRAWBERRY LOVE! JAN：4988031338599 STPRー9001 STPR Records 初回限定 STPR Records 【CD】, 収録曲未定（通常盤、初回限定盤共通） 【DVD】 幕張メッセで開催された“すとろべりーめもりーvol.7”のライブ映像を抜粋して収録。 CD JーPOP ポップス DVD・ブルーレイ付",4988031338599
Strawberry Prince (初回限定盤 CD＋DVD) [ すとぷり ],2784,https://item.rakuten.co.jp/book/16464058/,すとぷりBKSCPN_【newcd】 ストロベリー プリンス シリツストプリガクエン ガクリョクテストヘン ストプリ 発売日：2020年11月11日 予約締切日：2020年11月07日 STRAWBERRY PRINCE SHIRITSU SUTOPURI GAKUEN ーGAKURYOKU TEST HENー JAN：4988031402825 STPRー9020 STPR Records 初回限定 STPR Records [Disc1] 『Strawberry Prince』／CD アーティスト：すとぷり [Disc2] 『Strawberry Prince』／DVD アーティスト：すとぷり CD JーPOP ポップス DVD・ブルーレイ付,4988031402825
すとろべりーねくすとっ！(初回限定ボイスドラマCD盤 2CD) [ すとぷり ],3066,https://item.rakuten.co.jp/book/16137917/,すとぷりBKSCPN_【newcd】 ストロベリーネクストッ ストプリ 発売日：2020年01月15日 予約締切日：2020年01月11日 STRAWBERRY NEXT! JAN：4988031369012 STPRー9012/3 STPR Records 初回限定 STPR Records CD JーPOP ポップス,4988031369012
【現品限り】莉犬めもりー りいぬめもりー りいぬ すとぷり ファンブック ななもり【メール便を選択の場合送料無料】,2200,https://item.rakuten.co.jp/ablemart/9784845636259/,"***ご注意***こちらの【現品限り】の商品は、版元品切・絶版などで入手が困難な希少品となっております。未使用商品ではありますが、中には経年劣化による色あせ、擦れ跡等がみられる商品もございますので恐れ入りますが予めご了承いただけると幸いでございます。（個別の商品の状態につきましては、お気軽にお問い合わせください）莉犬×ななもり。著メーカー:STPR,BOOKSISBN:9784845636259B5変 厚さ0.9cm商品説明'SNSフォローワー累計500万人超え！YouTube、ツイキャス 、TikTokなど、ネットを中心に活動している「莉犬」初の公式ファンブックが登場！エンタメユニット「すとぷり」に入るまでの出来事や、これからのこと、そしてリスナーさんへの想いなど、莉犬のすべてを詰め込んだ一冊！本誌のための貴重な撮り下ろしや、これまでのイラスト紹介に加え、ゴールドディスクとなった1stフルアルバム「タイムカプセル」収録曲についての本人コメントなど、全112ページに渡ってお届けします。'著者について '著者についてななもり。（企画・プロデュース）YouTubeやツイキャス、TikTok等、ネットを中心に活動している6人組エンタメユニット「すとぷり」のリーダー。活動の総合プロデュースを手掛けている。莉犬「すとぷり」のメンバーで赤色担当。自身のSNSフォロワー累計500万人を突破！,1stフルアルバム『タイムカプセル』は、Billboardの週間アルバム・セールス・チャートで1位、ゴールドディスクに認定された。「歌ってみた」動画では、2，000万再生を超える作品も。声優としても活躍中。'目次 '【CONTENT】PREFACE■CHAPTER 01,PROFILEPROFILE莉犬くんの Answer ─ 4Step 質問コーナー大事な FAMILY 莉犬くんのお部屋莉犬くんの 1 日SNAP PHOTORinu After School ─ シルエットグラビアHISTORY莉犬くんの歴史■CHAPTER 02,SINGERSONG LISTシングル・アルバム楽曲紹介作詞楽曲リスト─ 歌詞とコメントLIVE LISTワンマンライブを振り返るLIVE GOODS LISTワンマンライブのグッズ紹介■CHAPTER 03,CHARACTERGALLERYいろんな莉犬くんを紹介FRIENDS動画に登場する仲間たちGOODS COLLECTION莉犬くんのグッズフォトグラフ■CHAPTER 04,MESSAGEりすなーさんに向けてのメッセージ'",9784845636259
すとろべりーねくすとっ！(初回限定ライブ映像盤B CD＋DVD) [ すとぷり ],2894,https://item.rakuten.co.jp/book/16137916/,すとぷりBKSCPN_【newcd】 ストロベリーネクストッ ストプリ 発売日：2020年01月15日 予約締切日：2020年01月11日 STRAWBERRY NEXT! JAN：4988031369005 STPRー9011 STPR Records 初回限定 STPR Records [Disc1] 『すとろべりーねくすとっ!』／CD アーティスト：すとぷり [Disc2] 『すとろべりーねくすとっ!』／DVD アーティスト：すとぷり CD JーPOP ポップス DVD・ブルーレイ付,4988031369005
【中古】Strawberry　Prince　別冊！すとめもぶっく！（アルバムスペシャルVer．！！）　［トレカ付属なし］/ すとぷり,898,https://item.rakuten.co.jp/renet3/0013176068/,"&nbsp;&nbsp;&nbsp; Strawberry,Prince,別冊！すとめもぶっく！（アルバムスペシャルVer．！！）,［トレカ付属なし］ の詳細 付属品: 冊子付 発売元: STPR,Records アーティスト名: すとぷり カナ: ストロベリープリンスベッサツスメトモブックアルバムスペシャルヴァージョン / ストプリ ディスク枚数: 1枚 品番: STPR9019 発売日: 2020/11/11 曲名Disc-11.,Streamer（ツイキャス2020夏キャンペーンテーマソング）2.,スキスキ星人3.,Very4.,大宇宙ランデブー（TVアニメ「妖怪学園Y〜Nとの遭遇〜」オープニングテーマ／ゲーム「妖怪学園Y〜ワイワイ学園生活〜」エンディングテーマ）5.,ストロベリー・レボリューション6.,STRIKE,the,PRISON！！7.,ドラマチックのアンチ8.,Night,of,Fantastic9.,じゃむじゃむシグナル10.,マブシガリヤ11.,四季12.,エンキョリクライ。13.,チェキラ☆14.,レベリング15.,Trick,or,Prince16.,スピール17.,向こうへ（荒野行動3周年テーマソング）18.,ハジメテキミと19.,Feel,Free！20.,Prince 関連商品リンク : すとぷり STPR,Records",
Strawberry Prince [ すとぷり ],2411,https://item.rakuten.co.jp/book/16464057/,すとぷりBKSCPN_【newcd】 ストロベリー プリンス ストプリ 発売日：2020年11月11日 予約締切日：2020年11月07日 STRAWBERRY PRINCE JAN：4988031402832 STPRー1009 STPR Records STPR Records [Disc1] 『Strawberry Prince』／CD アーティスト：すとぷり CD JーPOP ポップス,4988031402832
すとろべりーすたーと [ すとぷり ],1736,https://item.rakuten.co.jp/book/16137919/,すとぷりBKSCPN_【newcd】 ストロベリースタート ストプリ 発売日：2020年01月15日 予約締切日：2020年01月11日 STRAWBERRY START JAN：4988031369036 STPRー1007 STPR Records STPR Records [Disc1] 『すとろべりーすたーと』／CD アーティスト：すとぷり CD JーPOP ポップス,4988031369036
すとろべりーねくすとっ！(初回限定ライブ映像盤A CD＋DVD) [ すとぷり ],2894,https://item.rakuten.co.jp/book/16137915/,すとぷりBKSCPN_【newcd】 ストロベリーネクストッ ストプリ 発売日：2020年01月15日 予約締切日：2020年01月11日 STRAWBERRY NEXT! JAN：4988031368992 STPRー9010 STPR Records 初回限定 STPR Records [Disc1] 『すとろべりーねくすとっ!』／CD アーティスト：すとぷり [Disc2] 『すとろべりーねくすとっ!』／DVD アーティスト：すとぷり CD JーPOP ポップス DVD・ブルーレイ付,4988031368992
すとぷり 2021 Spring オフィシャルグッズ すとぷり あにまるますこっと ジェル すとろべりーぷりんす アニマル マスコット ぬいぐるみ,3460,https://item.rakuten.co.jp/yamamoridou/0649-011852/,商品情報 商品の説明 すとぷり 2021 Spring オフィシャルグッズ すとぷり あにまるますこっと（ジェル） 主な仕様 【サイズ】 W6cm×H10.2cm（約） 【素材】 本体：ポリエステル、綿 ボールチェーン：鉄,
すとろべりーねくすとっ！(通常盤) [ すとぷり ],2411,https://item.rakuten.co.jp/book/16137918/,すとぷりBKSCPN_【newcd】 ストロベリーネクストッ ストプリ 発売日：2020年01月15日 予約締切日：2020年01月11日 STRAWBERRY NEXT! JAN：4988031369029 STPRー1006 STPR Records STPR Records [Disc1] 『すとろべりーねくすとっ!』／CD アーティスト：すとぷり CD JーPOP ポップス,4988031369029
すとぷり すとろべりーめもりーvol. Next!! 公式グッズ アクリルキーホルダー 莉犬 B,2309,https://item.rakuten.co.jp/tokumaru2019/4917900752561/,◆商品名：すとぷり すとろべりーめもりーvol. Next!! 公式グッズ アクリルキーホルダー 莉犬 B 全長：約6.5cm すとぷり すとろべりーめもりーvol.Next!! 公式グッズ アクリルキーホルダー 莉犬 B,
ジェルめもりー ジェル ジェルくん すとぷり ファンブック 本【メール便を選択の場合送料無料】,2200,https://item.rakuten.co.jp/ablemart/9784845637621/,メーカー:STPR BOOKSISBN:9784845637621B5変 112ページSNSフォロワー累計670万人を突破!自身で企画、脚本、音声編集、さらに登場する全キャラクターのアフレコまで担当する「遠井さん」シリーズが話題!「すとぷり」の最強エンターテイナー「ジェル」初の公式ファンブックが発売決定!動画配信を始めたキッカケや、「すとぷり」に加入し、多くの活動に挑戦していく中で感じたこと、リスナーさんへの想いなど、'ジェル'の'これまで'と'これから'をすべて詰め込んだ一冊になっております。本誌のための貴重な撮り下ろしフォトや、これまでのイラスト紹介など、全112ページに渡ってお届けします。,9784845637621
すとぷり すとめも10 すとろべりーぷりんす すとろべりーめもりーVol.10 公式グッズ ペンライト vol.3,11953,https://item.rakuten.co.jp/tokumaru2019/4917900752557/,◆商品名：すとぷり すとめも10 すとろべりーぷりんす すとろべりーめもりーVol.10 公式グッズ ペンライト vol.3 使用電池：単4×3 対象年齢：12歳以上 新品未使用品です。すとめも10限定商品。,
